pathway	pval	padj	log2err	ES	NES	size
ABC transporters	0.00125599880795102	0.0483559541061143	0.45505986738723	-0.626644233485026	-1.57752569143236	175
Alanine, aspartate and glutamate metabolism	0.119636547198385	0.341185708676875	0.0647115329729563	0.635342527975297	1.35695362059863	33
Amino sugar and nucleotide sugar metabolism	0.175464561749712	0.437932321746196	0.0417547808135487	-0.593294781969632	-1.25431811495913	42
Aminoacyl-tRNA biosynthesis	0.973808929907708	0.994368266405485	0.0180299567810725	0.269934523252492	0.586954990416022	36
Arginine and proline metabolism	0.497233864207879	0.79764599050014	0.0222201387102157	-0.500876012492819	-0.982528990621883	25
Arginine biosynthesis	0.147644487615347	0.406022340942205	0.0567273700625101	0.684942558968302	1.3488972947221	19
Ascorbate and aldarate metabolism	0.025357385976855	0.177501701837985	0.117506481856722	-0.815595123862987	-1.52702009089306	18
Bacterial chemotaxis	0.00820232399179768	0.0902255639097744	0.208826601974224	-0.866926364206713	-1.59531113865183	16
Bacterial secretion system	0.43528218992903	0.74481619165634	0.0244952079175507	-0.533865953579577	-1.03402479130856	23
Base excision repair	0.949988148850438	0.994368266405485	0.0176420501968652	0.291496316027932	0.550597077586036	14
Benzoate degradation	0.0105081826012059	0.0942307692307692	0.184915881971771	-0.89130090357124	-1.5906736867874	13
Biofilm formation - Escherichia coli	0.336467598475222	0.602511746106793	0.036939115819951	0.481839925995172	1.09018052293749	49
Biosynthesis of various nucleotide sugars	0.620050125313283	0.866408332646275	0.025166259973747	0.411772528606676	0.873413478532869	31
Biotin metabolism	0.452187445962303	0.756922463893421	0.0242478929994279	-0.573545481095843	-1.03261430905798	14
Butanoate metabolism	0.674006622516556	0.866408332646275	0.0174127412802188	-0.418586584072979	-0.854879942499014	33
C5-Branched dibasic acid metabolism	0.691996481970097	0.866408332646275	0.0179168269996694	-0.486781475503333	-0.835104294287785	10
Carbon fixation by Calvin cycle	0.686720469552458	0.866408332646275	0.0230918552469226	0.414543993833622	0.819545419202921	20
Citrate cycle (TCA cycle)	0.0837932764676367	0.296766900909735	0.0628526173488668	-0.70073023938113	-1.39449614462471	28
Cysteine and methionine metabolism	0.766917293233083	0.894736842105263	0.021729486959042	0.358716763271718	0.782663524951513	37
D-Amino acid metabolism	0.0896700143472023	0.296766900909735	0.0731409447045026	0.763471428251252	1.45498014639587	15
DNA replication	0.354171675883626	0.619800432796345	0.0347183931048166	0.565326472730316	1.0938995520965	17
Exopolysaccharide biosynthesis	0.00454328072692492	0.076376260538932	0.335068558717014	0.902201628707947	1.71936422142583	15
Fatty acid biosynthesis	0.199138673557278	0.479177433247201	0.0399142166484103	-0.709860777379272	-1.2668638114641	13
Fatty acid degradation	0.0420197129517551	0.190324582193244	0.0915140765993025	-0.823434695140455	-1.48251616794578	14
Flagellar assembly	0.324342324342324	0.602511746106793	0.0293361955812739	-0.559731288984641	-1.12157983167031	29
Folate biosynthesis	0.987761944677284	0.994368266405485	0.0120481068503775	-0.250551437639747	-0.491487004733675	25
Fructose and mannose metabolism	0.332013201320132	0.602511746106793	0.0287507956878911	-0.52412424996359	-1.10414216029972	41
Galactose metabolism	0.164426746308279	0.436581360887501	0.0435109751834675	-0.630308713973242	-1.28118670711754	32
Glutathione metabolism	0.700296003946719	0.866408332646275	0.0229158720046954	0.397494640090375	0.810982522586275	24
Glycerolipid metabolism	0.0325090783330451	0.178799930831748	0.104367053045525	-0.835339229369808	-1.50394915415711	14
Glycerophospholipid metabolism	0.915734526472782	0.994368266405485	0.0188924717379221	0.311930691716693	0.652354488391894	28
Glycine, serine and threonine metabolism	0.0373615473632005	0.179802446685403	0.0949835566636969	-0.707015742961914	-1.47248171148329	38
