gene_R,log2FoldChange_R,gene_python,log2FoldChange_python,diff_log2fc,ratio_log2fc
b0002,0.440727383403014,b0002,0.4460289870206153,0.0053016036176012915,1.0120292131082613
b0003,0.0677786259542275,b0003,0.0751187912291185,0.0073401652748910085,1.1082961652224699
b0004,-0.0189356300114756,b0004,-0.0146739495778461,0.004261680433629501,0.7749385454274939
,,b0005,0.5316353306251707,,
b0006,-0.30734675438029,b0006,-0.3009151355595768,0.006431618820713247,0.9790737376300541
b0007,-0.132387720001901,b0007,-0.1282877277443166,0.004099992257584395,0.9690304187010281
b0008,-0.319647045047777,b0008,-0.3144859299540328,0.0051611150937442285,0.9838537062247117
b0009,-0.503362349746534,b0009,-0.4910190556106565,0.012343294135877536,0.9754783127063577
b0010,1.33305061186151,b0010,1.348387312447261,0.015336700585750984,1.0115049649647843
,,b0011,0.0409925119548089,,
b0014,-0.0713673266274067,b0014,-0.0686992737589892,0.0026680528684175087,0.9626152051015329
b0015,0.0642996847318262,b0015,0.0700652285484092,0.005765543816582994,1.0896667509433253
b0016,0.52692070123894,b0016,0.5281996345159027,0.0012789332769627126,1.0024271835856051
b0018,-0.512512171607569,b0018,-0.474278681659479,0.038233489948090005,0.9253998401088406
b0019,1.02647047639393,b0019,1.0307736193669956,0.004303142973065555,1.0041921741268027
b0020,1.20955239133437,b0020,1.2156275327366413,0.006075141402271278,1.005022636014608
,,b0022,0.5214884147671436,,
b0023,-0.306461546319195,b0023,-0.3006791997228627,0.005782346596332255,0.9811319016503635
b0024,0.476892380761106,b0024,0.4738901096089212,-0.003002271152184821,0.9937045101299515
b0025,0.0575871869157943,b0025,0.0625434578648228,0.004956270949028493,1.086065515863376
b0026,-0.0100384660379916,b0026,-0.0035195644097245,0.0065189016282671,0.35060779170884765
b0027,0.160973933976294,b0027,0.166480911131788,0.005506977155494003,1.0342103657372566
b0028,0.270904735546243,b0028,0.2744722790756662,0.0035675435294231783,1.013168996556039
b0029,0.322351769195902,b0029,0.3259230668270796,0.0035712976311775835,1.011078883295991
b0030,-1.57767243384586,b0030,-1.5724698100002443,0.005202623845615761,0.9967023421757244
b0031,-0.199306956819311,b0031,-0.1924233545088581,0.006883602310452874,0.96546230788776
b0032,-0.62206811382468,b0032,-0.612060764722086,0.010007349102593932,0.9839127759803256
b0033,-0.683296815874675,b0033,-0.6748185976762368,0.008478218198438192,0.987592188341189
,,b0034,-1.2041223390490938,,
b0035,-0.111219896215068,b0035,-0.0806582119055625,0.03056168430950551,0.7252138749490666
b0036,-0.708760383484793,b0036,-0.7048203084445576,0.0039400750402354134,0.9944408926739625
b0037,-0.172300784660502,b0037,-0.1614521990314559,0.010848585629046087,0.9370369342750126
b0038,0.205845738997631,b0038,0.2182066445910101,0.012360905593379101,1.0600493634387125
b0039,-0.208373761900162,b0039,-0.2063145444070419,0.0020592174931201024,0.9901176737687986
b0040,0.440386954121422,b0040,0.4568721792514988,0.01648522513007683,1.0374335001884083
b0041,-0.436922458709078,b0041,-0.4332631909090069,0.0036592678000710865,0.9916249033961708
b0042,-0.506023482736297,b0042,-0.4743076669985358,0.03171581573776122,0.9373234309873141
b0043,-0.349901212698802,b0043,-0.3469676652689666,0.0029335474298353703,0.9916160695551501
,,b0044,-0.0109720698672498,,
b0045,-0.0396073068285316,b0045,-0.0352280827704721,0.004379224058059503,0.8894339350812694
b0046,-0.266043780957621,b0046,-0.2605387980127372,0.005504982944883774,0.979307981095936
b0047,-0.249931482962738,b0047,-0.2422035788907991,0.007727904071938907,0.9690799095002727
b0048,-0.562134559579469,b0048,-0.5530269098859366,0.009107649693532394,0.983798096846517
b0049,0.199636343333301,b0049,0.2029423763742852,0.003306033040984202,1.016560276479642
b0050,0.170492862534565,b0050,0.1772344173787663,0.006741554844201303,1.039541566397447
b0051,0.165561415400036,b0051,0.1702717276250756,0.004710312225039592,1.0284505433446456
b0052,0.112985437483369,b0052,0.1159036735085989,0.0029182360252298922,1.0258284261249104
b0053,0.0253658094280535,b0053,0.0304368007075977,0.005070991279544201,1.1999144278808584
b0054,0.146034977609536,b0054,0.1495695050520358,0.003534527442499824,1.0242032936242873
b0055,-0.0652345577676234,b0055,-0.0585029598294763,0.006731597938147094,0.8968093267049316
b0056,-0.0447249751134496,b0056,-0.0439736945195355,0.0007512805939140985,0.9832022132598532
b0057,-0.295545821253985,b0057,-0.2612988892065097,0.03424693204747531,0.884123105168033
b0058,0.555817880476304,b0058,0.5620394264752208,0.006221545998916778,1.011193497398078
b0059,1.09029774277736,b0059,1.0946366134311905,0.00433887065383054,1.0039795282367345
b0060,0.450871475915219,b0060,0.4540911678503255,0.0032196919351065167,1.007141041532004
b0061,-0.201516700873987,b0061,-0.1924216586033966,0.009095042270590381,0.9548670545362008
b0062,-0.425279960404082,b0062,-0.4198326193392369,0.005447341064845124,0.9871911644751159
b0063,-0.624321118068937,b0063,-0.6169250816992432,0.00739603636969377,0.9881534739805532
b0064,-0.715294564900536,b0064,-0.708564294899273,0.006730270001263028,0.9905909113091068
b0065,-0.0009836029079351,b0065,0.0030135472286593,0.0039971501365944,-3.063784383258594
b0066,0.0879399860196941,b0066,0.0952924895435412,0.007352503523847101,1.0836081952776353
b0067,-0.0402364813665645,b0067,-0.037428739329325,0.002807742037239498,0.9302189967442664
b0068,-0.0517328197680572,b0068,-0.0405070748454548,0.0112257449226024,0.7830053537979808
b0069,-0.0359409175063229,b0069,-0.0313850433293943,0.004555874176928605,0.8732399033461761
b0070,0.142588647266785,b0070,0.1596100745848346,0.017021427318049592,1.1193743516354588
b0071,0.307207403590898,b0071,0.3060733086741906,-0.0011340949167074066,0.9963083737453878
b0072,0.240442919423949,b0072,0.2468648846391727,0.006421965215223702,1.0267088971911063
b0073,0.214972152436755,b0073,0.2208305833432223,0.005858430906467316,1.0272520456257277
b0074,0.0643121015441173,b0074,0.0748147446788634,0.010502643134746095,1.1633074162184145
b0076,-0.106148705811865,b0076,-0.1011410715293941,0.005007634282470905,0.9528243491602593
b0077,-0.244592882437489,b0077,-0.2389254507784171,0.005667431659071909,0.9768291227340994
b0078,-0.280731633036269,b0078,-0.2717545643223227,0.008977068713946323,0.968022596467472
b0080,-1.06056242801764,b0080,-1.0542374759206032,0.006324952097036762,0.9940362283917042
b0081,0.268532810199993,b0081,0.2731421119405297,0.004609301740536698,1.0171647618669162
b0082,0.360624925267124,b0082,0.3660026642394686,0.0053777389723446145,1.0149122775370039
b0083,0.455415373170875,b0083,0.4564301156235273,0.0010147424526523174,1.0022281690791135
b0084,0.429999210266685,b0084,0.4351729641003497,0.0051737538336647515,1.0120320077575398
b0085,0.44196534290382,b0085,0.4459191668409785,0.003953823937158485,1.0089460044789504
b0086,0.39918027605108,b0086,0.4035275545836672,0.0043472785325872065,1.010890514370081
b0087,0.340897692326848,b0087,0.3463120575348974,0.005414365208049388,1.0158826689940106
b0088,0.390752973900647,b0088,0.3947869719079184,0.004033998007271389,1.010323652733855
b0089,0.524352658542666,b0089,0.5291177477547284,0.004765089212062423,1.0090875656572544
b0090,0.217566595895431,b0090,0.2221340242309969,0.004567428335565893,1.0209932426288506
b0091,0.188771247518445,b0091,0.1934605947901542,0.004689347271709193,1.0248414275656625
b0092,-0.0393165638044829,b0092,-0.0328115662453294,0.0065049975591535,0.8345481667344542
b0093,0.28513892232829,b0093,0.2914584194711552,0.006319497142865171,1.0221628709657158
b0094,0.246298521265844,b0094,0.2501241524531277,0.0038256311872836846,1.0155324975871636
b0095,0.12413667132722,b0095,0.1281238787402554,0.003987207413035404,1.0321194967643788
b0096,0.549380761467909,b0096,0.5535477752002004,0.004167013732291336,1.0075849283858382
b0097,0.016924773925861,b0097,0.0221463907856575,0.0052216168597965,1.3085191496601256
b0098,-0.456018967624772,b0098,-0.4497359770476606,0.0062829905771114025,0.9862220849938829
,,b0099,0.4083191582571307,,
b0101,-0.18548913906443,b0101,-0.1813415560581616,0.004147583006268385,0.9776397527791225
b0102,0.129747542965053,b0102,0.1329712981878235,0.0032237552227704913,1.024846368178539
b0103,0.509817677093784,b0103,0.5144395065443624,0.00462182945057843,1.0090656516206444
b0104,-0.855524067093283,b0104,-0.8473450065659215,0.008179060527361504,0.9904397072601937
b0106,0.204335383351176,b0106,0.2053476311750747,0.001012247823898721,1.0049538548209198
b0107,0.276497588527052,b0107,0.2944379203002117,0.017940331773159734,1.0648842250984207
,,b0108,0.0930437832082717,,
b0109,-0.174198522661234,b0109,-0.1674893062122483,0.0067092164489857,0.9614852276214007
b0110,-0.331193299041273,b0110,-0.3232732671636149,0.007920031877658107,0.9760863764436517
b0111,-0.401440276815053,b0111,-0.3941045936799486,0.007335683135104409,0.9817265890874123
b0112,0.281137981384889,b0112,0.2875857800814839,0.0064477986965948975,1.0229346410784945
b0113,-0.553363115189975,b0113,-0.5465673047592498,0.006795810430725302,0.9877190758758971
b0114,-0.138128445097699,b0114,-0.1312432884339157,0.0068851566637833095,0.9501539551906676
b0115,-0.387384636021554,b0115,-0.3836492106259174,0.0037354253956365935,0.9903573217719746
b0116,-0.812113127529119,b0116,-0.8051197932360382,0.0069933342930808,0.9913887190638597
b0117,1.56411984554663,b0117,1.5601889822217148,-0.0039308633249153235,0.9974868528545896
b0118,-0.396367191424789,b0118,-0.3913114944961443,0.005055696928644715,0.9872449157296006
b0119,-0.333499859181186,b0119,-0.325532461381292,0.007967397799894027,0.9761097416369059
b0120,0.228445080485976,b0120,0.2355918080649263,0.007146727578950296,1.0312842262295467
b0121,0.120036785429389,b0121,0.1250165157418917,0.004979730312502706,1.0414850355638023
b0122,0.4531288473249,b0122,0.4566670258991963,0.00353817857429628,1.0078083277972354
b0123,-0.137233063906364,b0123,-0.1309034684338701,0.0063295954724938985,0.9538770374112417
b0124,-0.410722599856525,b0124,-0.4053396506472554,0.005382949209269572,0.9868939541891536
b0125,-0.378490524212999,b0125,-0.3714025052389465,0.007088018974052479,0.9812729288565659
b0126,0.179275707716955,b0126,0.183570093969891,0.004294386252935989,1.0239540889706935
b0127,0.430618168433585,b0127,0.434979280129025,0.0043611116954399565,1.0101275608302918
b0128,0.43100904580266,b0128,0.4343911392236214,0.0033820934209614073,1.0078469198126991
b0129,-0.492232192133238,b0129,-0.4823517361483513,0.009880455984886682,0.9799272454284903
b0130,0.224214518480274,b0130,0.2308750723658432,0.006660553885569215,1.0297061668027319
b0131,-0.267070288828688,b0131,-0.2602863602922806,0.006783928536407413,0.9745987149444432
b0132,-0.387605037217014,b0132,-0.3773504515064966,0.010254585710517405,0.9735437243433551
b0133,-0.230596595072255,b0133,-0.2248916770420611,0.005704918030193906,0.9752601809735901
b0134,-0.348040969172737,b0134,-0.3410196698717328,0.007021299301004202,0.9798262275912711
,,b0135,-0.069748778291955,,
,,b0136,-0.2256914397922602,,
,,b0137,-0.10036708218597,,
,,b0138,-0.5858329041535848,,
,,b0139,-0.5626849422645345,,
