gene_id	gene_name	C1	C2	C3	sac1	sac2	sac3
b0001	b0001	9.34157802515185	9.34157802515185	8.33	10.476	9.34157802515185	9.34157802515185
b0002	b0002	2281.785	2278.01	2250.248	2260.301	2252.157	2233.296
b0003	b0003	751.785	748.01	720.248	730.301	722.157	703.296
b0004	b0004	1105.785	1102.01	1074.248	1084.301	1076.157	1057.296
b0005	b0005	137.642	134.13	114.229	121.763	117.401	109.6
b0006	b0006	595.785	592.01	564.248	574.301	566.157	547.296
b0007	b0007	1249.785	1246.01	1218.248	1228.301	1220.157	1201.296
b0008	b0008	772.785	769.01	741.248	751.301	743.157	724.296
b0009	b0009	406.785	403.01	375.248	385.301	377.157	358.296
b0010	b0010	385.785	382.01	354.248	364.301	356.157	337.296
b0011	b0011	532.785	529.01	501.248	511.301	503.157	484.296
b0012	b0012	269.115293843473	269.115293843473	273.991	269.115293843473	275.957	257.773
b0013	b0013	199.296586842324	199.296586842324	199.296586842324	210.133	199.296586842324	189.019
b0014	b0014	1735.785	1732.01	1704.248	1714.301	1706.157	1687.296
b0015	b0015	949.785	946.01	918.248	928.301	920.157	901.296
b0016	b0016	931.785	928.01	900.248	910.301	902.157	883.296
b0018	b0018	74.334	72.487	58.175	64.15	61.826	57.134
b0019	b0019	985.785	982.01	954.248	964.301	956.157	937.296
b0020	b0020	724.785	721.01	693.248	703.301	695.157	676.296
b0021	b0021	295.445590809899	319.01	291.248	301.301	293.157	274.296
b0022	b0022	121.296	104.767903509579	99.388	106.447	102.609	95.861
b0023	b0023	112.293	109.239	91.183	98.071	94.473	88.262
b0024	b0024	80.368	78.253	63.276	69.452	66.899	62.08
b0025	b0025	760.785	757.01	729.248	739.301	731.157	712.296
b0026	b0026	2635.785	2632.01	2604.248	2614.301	2606.157	2587.296
b0027	b0027	314.016	310.166	282.481	292.53	284.426	265.766
b0028	b0028	271.311	267.415	240.665	250.534	242.894	226.321
b0029	b0029	769.785	766.01	738.248	748.301	740.157	721.296
b0030	b0030	733.785	730.01	702.248	712.301	704.157	685.296
b0031	b0031	640.785	637.01	609.248	619.301	611.157	592.296
b0032	b0032	967.785	964.01	936.248	946.301	938.157	919.296
b0033	b0033	3040.785	3037.01	3009.248	3019.301	3011.157	2992.296
b0034	b0034	221.611	217.708	192.814	202.163	195.306	181.808
b0035	b0035	409.785	406.01	378.248	388.301	380.157	361.296
b0036	b0036	604.785	601.01	573.248	583.301	575.157	556.296
b0037	b0037	1372.785	1369.01	1341.248	1351.301	1343.157	1324.296
b0038	b0038	1036.785	1033.01	1005.248	1015.301	1007.157	988.296
b0039	b0039	961.785	958.01	930.248	940.301	932.157	913.296
b0040	b0040	1333.785	1330.01	1302.248	1312.301	1304.157	1285.296
b0041	b0041	589.785	586.01	558.248	568.301	560.157	541.296
b0042	b0042	760.785	757.01	729.248	739.301	731.157	712.296
b0043	b0043	1105.785	1102.01	1074.248	1084.301	1076.157	1057.296
b0044	b0044	130.571	113.258516599331	107.81	115.086	110.997	103.637
b0045	b0045	1150.785	1147.01	1119.248	1129.301	1121.157	1102.296
b0046	b0046	349.785	346.01	318.248	328.301	320.157	301.296
b0047	b0047	1681.785	1678.01	1650.248	1660.301	1652.157	1633.296
b0048	b0048	299.617	295.808	268.385	278.414	270.393	252.464
b0049	b0049	661.785	658.01	630.248	640.301	632.157	613.296
b0050	b0050	205.639	201.737	177.525	186.666	180.173	167.854
b0051	b0051	640.785	637.01	609.248	619.301	611.157	592.296
b0052	b0052	808.785	805.01	777.248	787.301	779.157	760.296
b0053	b0053	1105.785	1102.01	1074.248	1084.301	1076.157	1057.296
b0054	b0054	2173.785	2170.01	2142.248	2152.301	2144.157	2125.296
b0055	b0055	634.785	631.01	603.248	613.301	605.157	586.296
b0056	b0056	469.785	466.01	438.248	448.301	440.157	421.296
b0057	b0057	42.689	42.554	32.23	36.857	35.883	31.734
b0058	b0058	478.785	475.01	447.248	457.301	449.157	430.296
b0059	b0059	2725.785	2722.01	2694.248	2704.301	2696.157	2677.296
b0060	b0060	2170.785	2167.01	2139.248	2149.301	2141.157	2122.296
b0061	b0061	514.785	511.01	483.248	493.301	485.157	466.296
b0062	b0062	1321.785	1318.01	1290.248	1300.301	1292.157	1273.296
b0063	b0063	1519.785	1516.01	1488.248	1498.301	1490.157	1471.296
b0064	b0064	697.785	694.01	666.248	676.301	668.157	649.296
b0065	b0065	583.785	580.01	552.248	562.301	554.157	535.296
b0066	b0066	517.785	514.01	486.248	496.301	488.157	469.296
b0067	b0067	1429.785	1426.01	1398.248	1408.301	1400.157	1381.296
b0068	b0068	802.785	799.01	771.248	781.301	773.157	754.296
b0069	b0069	1474.785	1471.01	1443.248	1453.301	1445.157	1426.296
b0070	b0070	997.785	994.01	966.248	976.301	968.157	949.296
b0071	b0071	424.785	421.01	393.248	403.301	395.157	376.296
b0072	b0072	1219.785	1216.01	1188.248	1198.301	1190.157	1171.296
b0073	b0073	910.785	907.01	879.248	889.301	881.157	862.296
b0074	b0074	1390.785	1387.01	1359.248	1369.301	1361.157	1342.296
b0075	b0075	12.8393682476982	16.097	10.241	12.8393682476982	12.8393682476982	12.8393682476982
b0076	b0076	763.785	760.01	732.248	742.301	734.157	715.296
b0077	b0077	1543.785	1540.01	1512.248	1522.301	1514.157	1495.296
b0078	b0078	311.144	307.283	279.649	289.673	281.584	263.103
b0080	b0080	823.785	820.01	792.248	802.301	794.157	775.296
b0081	b0081	279.763	275.879	248.892	258.808	251.075	234.068
b0082	b0082	760.785	757.01	729.248	739.301	731.157	712.296
b0083	b0083	195.147	191.299	167.686	176.548	170.349	158.716
b0084	b0084	1585.785	1582.01	1554.248	1564.301	1556.157	1537.296
b0085	b0085	1306.785	1303.01	1275.248	1285.301	1277.157	1258.296
b0086	b0086	1177.785	1174.01	1146.248	1156.301	1148.157	1129.296
b0087	b0087	901.785	898.01	870.248	880.301	872.157	853.296
b0088	b0088	1135.785	1132.01	1104.248	1114.301	1106.157	1087.296
b0089	b0089	1063.785	1060.01	1032.248	1042.301	1034.157	1015.296
b0090	b0090	886.785	883.01	855.248	865.301	857.157	838.296
b0091	b0091	1294.785	1291.01	1263.248	1273.301	1265.157	1246.296
b0092	b0092	739.785	736.01	708.248	718.301	710.157	691.296
b0093	b0093	649.785	646.01	618.248	628.301	620.157	601.296
b0094	b0094	1081.785	1078.01	1050.248	1060.301	1052.157	1033.296
b0095	b0095	970.785	967.01	939.248	949.301	941.157	922.296
b0096	b0096	736.785	733.01	705.248	715.301	707.157	688.296
b0097	b0097	331.785	328.01	300.248	310.301	302.157	283.296
b0098	b0098	2524.785	2521.01	2493.248	2503.301	2495.157	2476.296
b0099	b0099	216.283	212.329	187.67	196.955	190.229	177.115
b0101	b0101	66.51	65.098	51.691	57.373	55.333	50.801
b0102	b0102	562.785	559.01	531.248	541.301	533.157	514.296
b0103	b0103	439.785	436.01	408.248	418.301	410.157	391.296
b0104	b0104	862.785	859.01	831.248	841.301	833.157	814.296
b0106	b0106	1021.785	1018.01	990.248	1000.301	992.157	973.296
b0107	b0107	1204.785	1201.01	1173.248	1183.301	1175.157	1156.296
b0108	b0108	262.913	258.986	232.513	242.305	234.762	218.659
b0109	b0109	712.785	709.01	681.248	691.301	683.157	664.296
b0110	b0110	370.785	367.01	339.248	349.301	341.157	322.296
b0111	b0111	673.785	670.01	642.248	652.301	644.157	625.296
b0112	b0112	1192.785	1189.01	1161.248	1171.301	1163.157	1144.296
